,eprint_status,status_changed,abstract,subjects,title,official_url,metadata_visibility,volume,rev_number,eprintid,date_type,lastmod,userid,datestamp,pagerange,documents,publisher,number,ispublished,refereed,full_text_status,uri,type,divisions,issn,creators,publication,id_number,date,dir,contributors,related_url,referencetext,keywords,contact_email,patent_applicant,corp_creators,event_type,event_dates,event_location,event_title,pres_type,succeeds
0,archive,2019-11-08 10:30:25,"Every institute, office or college must have filing activities in its business process. One of the lecture filing activities at the college is the preparation of lecture devices. The lecture device is very important and becomes a reference in every learning of a course. Nowadays, the preparation of lecture devices is still done manually and lecture filing activities will be a problem if there is no system that handles these activities, one of which is data search and storage space. The lecture filing information system has been developed to assist in the preparation and search for lecture devices. This information system was developed with Waterfall methods and Laravel framework. The conclusion of this research is the lecture filing information system is successfully built and can be used to help the preparation and search activities of lecture devices.",['QA75'],SISTEM INFORMASI PEMBERKASAN PERKULIAHAN BERBASIS WEB MENGGUNAKAN FRAMEWORK LARAVEL,http://jurnal.fmipa.unila.ac.id/komputasi/,show,7.0,7,15902,published,2019-11-08 10:30:25,2425,2019-11-08 10:30:25,70-79,"[{'files': [{'filesize': 1008866, 'datasetid': 'document', 'mtime': '2019-11-07 10:05:05', 'hash_type': 'MD5', 'filename': '2015-4774-1-PB.pdf', 'hash': 'da5cbdf3278f85016969d86fcef34f7b', 'fileid': 136386, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/136386', 'objectid': 28990}], 'main': '2015-4774-1-PB.pdf', 'docid': 28990, 'formatdesc': 'jurnal dicky AM', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28990', 'format': 'text', 'pos': 1, 'security': 'public', 'license': 'cc_by_nc_4', 'placement': 1, 'eprintid': 15902, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en'}]",Jurusan Ilmu Komputer Universitas Lampung,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/15902,article,['FMIPA3'],2541-0350,"[{'id': 'dickykurniawanam@gmail.com', 'name': {'lineage': None, 'family': 'AM', 'honourific': None, 'given': 'Dicky Kurniawan'}}, {'id': 'febi_ef@yahoo.com', 'name': {'given': 'Febi Eka', 'family': 'Febriansyah', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Rizky', 'lineage': None, 'family': 'Prabowo', 'honourific': None}, 'id': 'Rizky.prabowo@fmipa.unila.ac.id'}, {'id': 'dwijim@fmipa.unila.ac.id', 'name': {'given': 'Dwi', 'family': 'Sakethi', 'honourific': None, 'lineage': None}}]",Jurnal Komputasi,http://dx.doi.org/10.23960/komputasi.v7i1.2015,2019-04-01 00:00:00.000000000,disk0/00/01/59/02,,,,,,,,,,,,,
1,archive,2021-04-01 01:47:40,,['T201'],Peer Review: Sistem Informasi Pemetaan UMKM Berbasis Web,,show,,9,28382,,2021-04-01 01:47:40,725,2021-04-01 01:47:40,,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42899', 'docid': 42899, 'main': '26. siumkm20_nilai - Copy.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/255573', 'objectid': 42899, 'filename': '26. siumkm20_nilai - Copy.pdf', 'hash': '94d771e2bec1546d8dabe170bdbb3867', 'hash_type': 'MD5', 'mtime': '2021-03-31 20:00:57', 'mime_type': 'application/pdf', 'fileid': 255573, 'filesize': 6238106, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28382, 'placement': 1, 'security': 'public'}]",Universitas Lampung,,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/28382,other,['FMIPA3'],,"[{'name': {'given': 'Irawati', 'lineage': None, 'family': 'Anie Rose', 'honourific': None}, 'id': 'an.irawati@gmail.com'}, {'name': {'given': 'Didik', 'honourific': None, 'family': 'Kurniawan', 'lineage': None}, 'id': 'didikunila@gmail.com'}, {'name': {'lineage': None, 'family': 'Admi Syarif', 'honourific': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}]",,,2019-09-09 00:00:00.000000000,disk0/00/02/83/82,,,,,,,,,,,,,
2,archive,2019-08-01 07:26:00,"Yoga , in Hindu philosophy, focuses on meditation activities or tapa where ones focuses all thoughts to control the five senses and the body as a whole. The rapid progress of information and communication technology and the lack of Hindu Yoga learning media in digital form have encouraged the development of Hindu Yoga Learning Applications Android-based. This application is expected to be a practical and interesting learning media to be learnt, as well as a reference in learning the movements of Hatha Yoga and Surya Namaskara besides books. This study has succeeded in developing an Android Application of Hindu Yoga Learning consisting of 46 Yoga movements, among others, 12 (twelve) Surya Namaskara movements, 8 (eight) pranayama movements, 7 (seven) sitting position of asanas movements, 8 standing position of asanas movements and 11 (eleven) sleep position of asanas movements. This application runs on the Android operating system so that it can be accessed by everyone and at any time on a smartphone or tablet computer that supports the Android operating system. The conclusion of this study is that the Hindu Yoga Learning Applications Android-based has been successfully built and it has been tested to match with the expected result.",['TD'],APLIKASI PEMBELAJARAN YOGA HINDU BERBASIS ANDROID,http://jurnal.fmipa.unila.ac.id/komputasi/,show,7.0,6,13349,published,2019-08-01 07:26:00,678,2019-08-01 07:26:00,62-69,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26355', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 444513, 'mime_type': 'application/pdf', 'fileid': 116975, 'hash': 'f2769b8868807effb9f56cdd0471ae75', 'filename': 'Kadek Ardiago_Machudor Yusman_Wayan Rumite.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-28 15:27:41', 'objectid': 26355, 'uri': 'http://repository.lppm.unila.ac.id/id/file/116975'}], 'docid': 26355, 'main': 'Kadek Ardiago_Machudor Yusman_Wayan Rumite.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 13349}]",Jurusan Ilmu Komputer Universitas Lampung,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/13349,article,['FMIPA3'],2541-0350,"[{'id': 'kadekardiago@gmail.com', 'name': {'given': 'Kadek', 'honourific': None, 'family': 'Ardiago', 'lineage': None}}]",Jurnal Komputasi,http://dx.doi.org/10.23960%2Fkomputasi.v7i1.1731,2019-04-25 00:00:00.000000000,disk0/00/01/33/49,"[{'name': {'given': 'kadek', 'honourific': None, 'family': 'Ardiago', 'lineage': None}, 'id': 'kadekardiago@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'given': 'Machudor', 'lineage': None, 'honourific': None, 'family': 'Yusman'}, 'id': 'machudor.yusman@fmipa.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'given': 'Wayan', 'lineage': None, 'family': 'Rumite', 'honourific': None}, 'id': 'wayan.rumite@gmail.com', 'type': None}]","[{'url': 'http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1731', 'type': 'pub'}]","[1] Timbowo, Deify. 2016. Manfaat Penggunaan Smartphone Sebagai Media Komunikasi. Fakultas Ilmu Sosial dan Politik Universitas Sam Ratulangi.
[2] Hermawan, Stephanus S. 2011. Mudah Membuat Aplikasi Android. Yogyakarta: C.V Andi.
[3] Maharta, Nengah.,dan Seruni Ni Wayan. 2014. Pengembangan dan Pendalaman Agama Hindu. Bandar Lampung: CV. Seruni.
[4] Dayuh, I Nyoman. 2016. Pengetahuan Spiritual Yoga. Kota Denpasar: Penyuluh Agama Hindu.","application, hindu yoga, android.",,,,,,,,,
3,archive,2019-11-04 02:48:03,,['QA76'],Comparative Analysis of Cow Disease Diagnosis Expert System using Bayesian Network and Dempster-Shafer Method,,show,,7,14673,,2019-11-04 02:48:03,215,2019-11-04 02:48:03,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27781', 'docid': 27781, 'main': 'pr_01_Comparative Analysis of Cow Disease Diagnosis Expert System using Bayesian Network and Dempster-Shafer Method.pdf', 'files': [{'filesize': 495910, 'datasetid': 'document', 'filename': 'pr_01_Comparative Analysis of Cow Disease Diagnosis Expert System using Bayesian Network and Dempster-Shafer Method.pdf', 'hash': '47a5fad0d958be520ab93c9b1bd5d629', 'hash_type': 'MD5', 'mtime': '2019-10-29 02:37:18', 'mime_type': 'application/pdf', 'fileid': 127062, 'uri': 'http://repository.lppm.unila.ac.id/id/file/127062', 'objectid': 27781}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 14673, 'security': 'public', 'placement': 1}]",Universitas Lampung,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/14673,other,['FMIPA3'],,"[{'name': {'given': 'Aristoteles', 'honourific': None, 'family': 'Aristoteles', 'lineage': None}}]",,,2019-05-14 00:00:00.000000000,disk0/00/01/46/73,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,
4,archive,2019-11-04 02:01:39,,['QA76'],Hak Cipta : Aplikasi Peta Virtual 3D Gedung Jurusan Fisika Universitas Lampung Berbasis Android,,show,,8,14708,,2019-11-04 02:01:39,215,2019-11-04 02:01:39,,"[{'files': [{'mtime': '2019-10-29 04:40:19', 'hash_type': 'MD5', 'hash': '898a5b3781710613daebc5d0c7091834', 'filename': 'sertifikat_EC00201975282.pdf', 'fileid': 127296, 'mime_type': 'application/pdf', 'filesize': 770386, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/127296', 'objectid': 27817}], 'docid': 27817, 'main': 'sertifikat_EC00201975282.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27817', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 14708, 'language': 'en', 'mime_type': 'application/pdf'}]",Kementerian Hukum dan Ham Direktorat Kekayaan Intelektual,,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/14708,other,['FMIPA3'],,"[{'name': {'lineage': None, 'family': 'Aristoteles', 'honourific': None, 'given': 'Aristoteles'}}]",,EC00201975282,2019-10-10 00:00:00.000000000,disk0/00/01/47/08,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,aristoteles.1981@fmipa.unila.ac.id,,,,,,,,
5,archive,2019-11-04 02:13:26,,['QA76'],Hak Cipta : Aplikasi Peta Virtual 3D Gedung Jurusan Kimia Universitas Lampung Berbasis Android,,show,,7,14710,,2019-11-04 02:13:26,215,2019-11-04 02:13:26,,"[{'files': [{'fileid': 127315, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-10-29 04:43:17', 'hash': '0b80a2f5ea090930a58b2725fc7310ab', 'filename': 'sertifikat_EC00201975283.pdf', 'datasetid': 'document', 'filesize': 770517, 'objectid': 27822, 'uri': 'http://repository.lppm.unila.ac.id/id/file/127315'}], 'main': 'sertifikat_EC00201975283.pdf', 'docid': 27822, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27822', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 14710, 'language': 'en', 'mime_type': 'application/pdf'}]",Kementerian Hukum dan Ham Direktorat Kekayaan Intelektual,,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/14710,other,['FMIPA3'],,"[{'name': {'honourific': None, 'family': 'Aristoteles', 'lineage': None, 'given': 'Aristoteles'}}]",,EC00201975283,2019-10-10 00:00:00.000000000,disk0/00/01/47/10,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,aristoteles.1981@fmipa.unila.ac.id,,,,,,,,
6,archive,2021-04-28 01:05:34,,['QA76'],Hak Cipta : Manual Book and Code Program -- Aplikasi Peta Virtual 3D Gedung Jurusan Fisika Universitas Lampung Berbasis Android,,show,,8,29673,completed,2021-04-28 01:05:34,215,2021-04-28 01:05:34,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 29673, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43874', 'docid': 43874, 'main': 'Manual Book and Code Program_EC00201975282_VR_Fisika.pdf', 'files': [{'filename': 'Manual Book and Code Program_EC00201975282_VR_Fisika.pdf', 'hash': 'ca4783fae345acb4aa9561ad02bc77df', 'hash_type': 'MD5', 'mtime': '2021-04-27 07:47:01', 'mime_type': 'application/pdf', 'fileid': 262623, 'filesize': 879685, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/262623', 'objectid': 43874}]}]",,,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/29673,patent,['FMIPA3'],,"[{'name': {'given': 'Aristoteles', 'lineage': None, 'family': 'Aristoteles', 'honourific': None}}]",,158221,2019-01-19 00:00:00.000000000,disk0/00/02/96/73,,,,,,"Aristoteles, Muhammad Iqbal, Akmal Junaidi, Garnies Hafitma Yora",,,,,,,
7,archive,2019-11-04 02:08:10,,['QA76'],Peer Review Hak Cipta : Aplikasi Peta Virtual 3D Gedung Jurusan Fisika Universitas Lampung Berbasis Android,,show,,7,14701,,2019-11-04 02:08:10,215,2019-11-04 02:08:10,,"[{'files': [{'filesize': 421985, 'datasetid': 'document', 'mtime': '2019-10-29 04:27:20', 'hash_type': 'MD5', 'filename': 'pr_18_Aplikasi Peta Virtual 3D Gedung Jurusan Fisika Universitas Lampung Berbasis Android.pdf', 'hash': '20978feb05c632548678a76018d98851', 'fileid': 127246, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/127246', 'objectid': 27808}], 'docid': 27808, 'main': 'pr_18_Aplikasi Peta Virtual 3D Gedung Jurusan Fisika Universitas Lampung Berbasis Android.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27808', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 14701, 'language': 'en', 'mime_type': 'application/pdf'}]",Universitas Lampung,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/14701,other,['FMIPA3'],,"[{'name': {'lineage': None, 'family': 'Aristoteles', 'honourific': None, 'given': 'Aristoteles'}}]",,,2019-05-14 00:00:00.000000000,disk0/00/01/47/01,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,
8,archive,2019-11-04 02:02:16,,['QA76'],Peer Review Hak Cipta : Aplikasi Peta Virtual 3D Gedung Jurusan Kimia Universitas Lampung Berbasis Android,,show,,7,14703,,2019-11-04 02:02:16,215,2019-11-04 02:02:16,,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 14703, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27809', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 417809, 'datasetid': 'document', 'mtime': '2019-10-29 04:28:43', 'hash_type': 'MD5', 'filename': 'pr_19_Aplikasi Peta Virtual 3D Gedung Jurusan Kimia Universitas Lampung Berbasis Android.pdf', 'hash': '7d584e8e831687fa272905a125d0c9a2', 'fileid': 127254, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/127254', 'objectid': 27809}], 'docid': 27809, 'main': 'pr_19_Aplikasi Peta Virtual 3D Gedung Jurusan Kimia Universitas Lampung Berbasis Android.pdf'}]",Universitas Lampung,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/14703,other,['FMIPA3'],,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Aristoteles', 'given': 'Aristoteles'}}]",,,2019-05-14 00:00:00.000000000,disk0/00/01/47/03,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,
9,archive,2019-11-04 02:12:20,,['QA76'],Peer Review Jurnal : An Expert System To Diagnose Chicken Diseases With Certainty Factor Based On Android,,show,,7,14700,,2019-11-04 02:12:20,215,2019-11-04 02:12:20,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/127239', 'objectid': 27807, 'hash': 'a8efd79b51cffae029eadcc9f073cbe3', 'filename': 'pr_17_An Expert System To Diagnose Chicken Diseases With Certainty Factor Based On Android.pdf', 'hash_type': 'MD5', 'mtime': '2019-10-29 04:25:17', 'mime_type': 'application/pdf', 'fileid': 127239, 'filesize': 556228, 'datasetid': 'document'}], 'docid': 27807, 'main': 'pr_17_An Expert System To Diagnose Chicken Diseases With Certainty Factor Based On Android.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27807', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 14700, 'mime_type': 'application/pdf', 'language': 'en'}]",Universitas Lampung,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/14700,other,['FMIPA3'],,"[{'name': {'given': 'Aristoteles', 'honourific': None, 'family': 'Aristoteles', 'lineage': None}}]",,,2019-05-14 00:00:00.000000000,disk0/00/01/47/00,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,
